Record_ID,Equipment_ID,Equipment_Type,Site,Month,Day_of_Week,Weather,Rental_Days,Engine_Hours,Idle_Hours,Current_Rentals,Available_Equipment,Previous_Demand,Predicted_Demand
3949,EQX1449,Bulldozer,Goa Port,September,Friday,Cloudy,18,217,35,83,59,98,108
3950,EQX1450,Bulldozer,Mysuru Township,April,Sunday,Sunny,8,78,33,31,35,25,35
3951,EQX1451,Bulldozer,Lucknow Expressway,February,Thursday,Sunny,23,208,1,43,31,39,46
3952,EQX1452,Excavator,Surat Industrial,November,Sunday,Sunny,10,141,10,54,13,48,57
3953,EQX1453,Crane,Surat Industrial,June,Saturday,Cloudy,6,41,9,111,16,106,124
3954,EQX1454,Backhoe Loader,Coimbatore Plant,July,Sunday,Cloudy,5,62,67,41,2,41,54
3955,EQX1455,Bulldozer,Jaipur Smart City,August,Sunday,Rainy,8,76,41,12,60,27,32
3956,EQX1456,Crane,Bengaluru Airport,May,Tuesday,Hot,24,265,29,11,52,21,25
3957,EQX1457,Bulldozer,Mysuru Township,January,Monday,Foggy,25,203,25,29,23,18,19
3958,EQX1458,Backhoe Loader,Hyderabad Ring Road,November,Monday,Foggy,24,168,0,26,20,31,32
3959,EQX1459,Dump Truck,Hyderabad Ring Road,June,Sunday,Cloudy,13,131,30,60,18,66,78
3960,EQX1460,Bulldozer,Lucknow Expressway,September,Thursday,Sunny,9,60,18,91,14,89,107
3961,EQX1461,Crane,Vizag Port,December,Saturday,Sunny,17,155,0,47,59,45,51
3962,EQX1462,Crane,Indore Logistics,September,Tuesday,Cloudy,21,213,26,98,32,100,113
3963,EQX1463,Excavator,Coimbatore Plant,December,Friday,Foggy,24,297,0,26,7,37,39
3964,EQX1464,Bulldozer,Pune Highway,November,Monday,Foggy,21,173,13,69,9,63,69
3965,EQX1465,Backhoe Loader,Delhi NCR,January,Tuesday,Sunny,27,281,23,120,38,123,137
3966,EQX1466,Bulldozer,Surat Industrial,May,Saturday,Sunny,11,77,4,111,12,122,144
3967,EQX1467,Excavator,Jaipur Smart City,February,Saturday,Cloudy,29,178,0,84,59,85,90
3968,EQX1468,Backhoe Loader,Surat Industrial,December,Friday,Foggy,20,216,46,55,27,51,53
3969,EQX1469,Backhoe Loader,Kochi Harbor,September,Thursday,Cloudy,5,50,10,36,44,33,40
3970,EQX1470,Crane,Surat Industrial,October,Tuesday,Sunny,10,102,5,45,14,55,63
3971,EQX1471,Bulldozer,Chennai Metro,September,Tuesday,Sunny,29,177,0,12,35,7,17
3972,EQX1472,Wheel Loader,Ahmedabad SEZ,February,Tuesday,Cloudy,27,294,0,118,17,112,122
3973,EQX1473,Backhoe Loader,Vizag Port,December,Thursday,Sunny,5,78,27,55,13,70,79
3974,EQX1474,Dump Truck,Coimbatore Plant,February,Wednesday,Sunny,1,17,30,111,50,124,136
3975,EQX1475,Grader,Surat Industrial,April,Wednesday,Cloudy,15,181,42,65,26,50,58
3976,EQX1476,Grader,Mysuru Township,October,Thursday,Sunny,25,265,29,95,27,109,121
3977,EQX1477,Backhoe Loader,Bhopal Quarry,January,Wednesday,Cloudy,16,196,0,10,30,15,14
3978,EQX1478,Grader,Chennai Metro,May,Sunday,Sunny,8,102,0,117,52,113,134
3979,EQX1479,Bulldozer,Patna Bridge,January,Sunday,Cloudy,23,291,0,41,53,40,41
3980,EQX1480,Grader,Coimbatore Plant,June,Saturday,Cloudy,14,121,0,60,49,70,81
3981,EQX1481,Wheel Loader,Bhopal Quarry,October,Saturday,Sunny,28,276,1,79,37,74,85
3982,EQX1482,Grader,Pune Highway,April,Thursday,Cloudy,26,265,39,78,14,92,102
3983,EQX1483,Wheel Loader,Coimbatore Plant,November,Monday,Foggy,25,314,45,88,29,89,95
3984,EQX1484,Dump Truck,Nagpur Mine,December,Sunday,Sunny,6,73,39,120,60,119,131
3985,EQX1485,Wheel Loader,Mysuru Township,February,Tuesday,Cloudy,8,50,46,92,39,95,100
3986,EQX1486,Bulldozer,Lucknow Expressway,November,Monday,Sunny,8,86,51,97,5,93,105
3987,EQX1487,Dump Truck,Bhopal Quarry,November,Wednesday,Sunny,16,128,55,75,60,84,91
3988,EQX1488,Backhoe Loader,Patna Bridge,November,Thursday,Foggy,20,252,5,105,24,104,113
3989,EQX1489,Roller,Vizag Port,December,Friday,Foggy,25,157,44,6,53,5,1
3990,EQX1490,Crane,Kochi Harbor,February,Wednesday,Cloudy,9,110,26,100,12,90,98
3991,EQX1491,Crane,Delhi NCR,June,Monday,Rainy,27,330,0,100,22,104,119
3992,EQX1492,Crane,Mysuru Township,May,Saturday,Sunny,14,119,31,19,60,27,36
3993,EQX1493,Bulldozer,Surat Industrial,January,Sunday,Cloudy,16,138,0,91,16,103,111
3994,EQX1494,Roller,Kolkata Dock,April,Monday,Hot,24,240,18,98,3,91,105
3995,EQX1495,Dump Truck,Vizag Port,April,Thursday,Hot,5,43,12,58,57,65,72
3996,EQX1496,Dump Truck,Delhi NCR,January,Friday,Cloudy,29,369,0,32,42,43,44
3997,EQX1497,Bulldozer,Indore Logistics,March,Sunday,Sunny,3,52,69,101,16,97,109
3998,EQX1498,Backhoe Loader,Lucknow Expressway,November,Saturday,Cloudy,29,206,0,120,12,119,130
3999,EQX1499,Crane,Mumbai Port,October,Friday,Cloudy,25,315,2,14,7,8,8
4000,EQX1000,Wheel Loader,Chennai Metro,April,Thursday,Sunny,18,192,2,35,5,46,59
4001,EQX1001,Crane,Chennai Metro,October,Tuesday,Cloudy,1,24,11,70,53,55,59
4002,EQX1002,Roller,Hyderabad Ring Road,May,Wednesday,Hot,22,133,0,13,34,5,11
4003,EQX1003,Bulldozer,Chennai Metro,December,Thursday,Foggy,18,122,0,22,35,15,15
4004,EQX1004,Bulldozer,Kochi Harbor,July,Wednesday,Cloudy,16,174,8,28,50,15,27
4005,EQX1005,Dump Truck,Vizag Port,January,Tuesday,Sunny,1,14,38,90,33,83,94
4006,EQX1006,Wheel Loader,Vizag Port,May,Sunday,Hot,4,37,42,13,57,5,9
4007,EQX1007,Excavator,Chennai Metro,May,Tuesday,Hot,3,38,34,19,14,7,14
4008,EQX1008,Crane,Indore Logistics,June,Tuesday,Cloudy,19,156,0,97,32,106,122
4009,EQX1009,Grader,Patna Bridge,November,Thursday,Sunny,12,132,47,21,44,8,11
4010,EQX1010,Roller,Kochi Harbor,February,Thursday,Cloudy,29,362,33,59,32,67,70
4011,EQX1011,Crane,Goa Port,February,Friday,Sunny,16,165,0,21,52,12,16
4012,EQX1012,Bulldozer,Mumbai Port,September,Thursday,Sunny,20,200,0,10,19,11,22
4013,EQX1013,Wheel Loader,Kolkata Dock,January,Thursday,Foggy,4,48,36,48,49,49,50
4014,EQX1014,Bulldozer,Indore Logistics,November,Saturday,Foggy,27,304,8,19,36,21,20
4015,EQX1015,Excavator,Jaipur Smart City,August,Monday,Cloudy,24,265,7,85,42,95,111
4016,EQX1016,Crane,Goa Port,August,Saturday,Cloudy,11,116,61,18,51,20,27
4017,EQX1017,Crane,Ahmedabad SEZ,April,Wednesday,Cloudy,24,169,22,120,19,131,146
4018,EQX1018,Wheel Loader,Coimbatore Plant,April,Thursday,Cloudy,15,111,57,45,18,30,36
4019,EQX1019,Wheel Loader,Surat Industrial,September,Saturday,Rainy,29,261,0,11,49,10,13
4020,EQX1020,Bulldozer,Indore Logistics,June,Wednesday,Rainy,18,206,5,12,45,25,30
4021,EQX1021,Crane,Kolkata Dock,November,Wednesday,Foggy,24,216,4,91,22,84,91
4022,EQX1022,Excavator,Indore Logistics,August,Tuesday,Cloudy,15,181,52,73,53,76,89
4023,EQX1023,Grader,Bengaluru Airport,February,Sunday,Sunny,15,184,0,40,3,49,57
4024,EQX1024,Backhoe Loader,Pune Highway,August,Wednesday,Rainy,26,191,25,18,46,17,24
4025,EQX1025,Dump Truck,Chennai Metro,September,Thursday,Sunny,29,235,0,93,21,95,114
4026,EQX1026,Roller,Goa Port,August,Wednesday,Rainy,14,120,5,60,10,69,83
4027,EQX1027,Backhoe Loader,Nagpur Mine,August,Monday,Rainy,19,203,41,15,9,25,33
4028,EQX1028,Bulldozer,Indore Logistics,September,Sunday,Rainy,25,157,6,25,22,24,30
4029,EQX1029,Excavator,Jaipur Smart City,December,Wednesday,Foggy,8,120,0,64,17,53,58
4030,EQX1030,Roller,Goa Port,November,Saturday,Cloudy,19,205,13,81,53,91,96
4031,EQX1031,Excavator,Bengaluru Airport,April,Thursday,Cloudy,9,115,56,17,53,16,18
4032,EQX1032,Grader,Mysuru Township,May,Monday,Hot,6,62,0,41,56,42,50
4033,EQX1033,Bulldozer,Bengaluru Airport,November,Monday,Sunny,3,43,33,36,10,28,35
4034,EQX1034,Backhoe Loader,Ahmedabad SEZ,June,Thursday,Sunny,27,219,38,105,9,95,116
4035,EQX1035,Crane,Bhopal Quarry,October,Thursday,Sunny,2,19,32,35,59,44,48
4036,EQX1036,Backhoe Loader,Vizag Port,April,Sunday,Cloudy,12,133,48,42,3,53,60
4037,EQX1037,Crane,Vizag Port,April,Sunday,Hot,11,86,8,31,9,18,25
4038,EQX1038,Crane,Hyderabad Ring Road,May,Thursday,Sunny,4,40,13,8,26,5,16
4039,EQX1039,Bulldozer,Ahmedabad SEZ,April,Sunday,Cloudy,21,216,0,105,4,101,116
4040,EQX1040,Grader,Jaipur Smart City,March,Tuesday,Sunny,9,83,45,105,30,110,122
4041,EQX1041,Crane,Nagpur Mine,April,Thursday,Cloudy,22,164,32,20,9,31,36
4042,EQX1042,Bulldozer,Patna Bridge,November,Thursday,Cloudy,19,228,20,39,49,28,28
4043,EQX1043,Bulldozer,Lucknow Expressway,September,Friday,Rainy,11,91,29,73,11,70,80
4044,EQX1044,Grader,Patna Bridge,December,Friday,Cloudy,12,89,1,39,56,43,44
4045,EQX1045,Backhoe Loader,Delhi NCR,January,Sunday,Sunny,5,46,66,52,39,44,50
4046,EQX1046,Crane,Delhi NCR,September,Friday,Cloudy,22,262,20,117,43,107,121
4047,EQX1047,Excavator,Bhopal Quarry,June,Saturday,Rainy,11,81,54,16,39,22,27
4048,EQX1048,Dump Truck,Nagpur Mine,April,Saturday,Hot,26,321,0,50,13,43,52
4049,EQX1049,Dump Truck,Bhopal Quarry,August,Sunday,Cloudy,9,96,26,77,26,70,85
4050,EQX1050,Wheel Loader,Surat Industrial,January,Friday,Foggy,10,121,0,60,2,57,62
4051,EQX1051,Grader,Kochi Harbor,July,Sunday,Stormy,14,121,44,51,53,47,57
4052,EQX1052,Wheel Loader,Mysuru Township,August,Wednesday,Cloudy,8,113,37,120,43,132,150
4053,EQX1053,Roller,Pune Highway,January,Sunday,Cloudy,5,30,27,8,31,5,3
4054,EQX1054,Crane,Delhi NCR,May,Friday,Hot,20,181,0,101,29,87,102
4055,EQX1055,Wheel Loader,Indore Logistics,March,Saturday,Cloudy,1,27,17,55,10,51,55
4056,EQX1056,Bulldozer,Jaipur Smart City,December,Tuesday,Foggy,7,63,43,104,5,95,103
4057,EQX1057,Crane,Mumbai Port,January,Friday,Cloudy,24,286,14,36,45,41,41
4058,EQX1058,Backhoe Loader,Indore Logistics,May,Monday,Sunny,18,191,1,92,17,90,110
4059,EQX1059,Dump Truck,Mysuru Township,October,Saturday,Cloudy,14,162,29,107,21,111,119
4060,EQX1060,Crane,Kolkata Dock,December,Thursday,Cloudy,27,266,37,117,9,107,117
4061,EQX1061,Wheel Loader,Bhopal Quarry,December,Friday,Sunny,23,285,0,61,48,49,57
4062,EQX1062,Wheel Loader,Nagpur Mine,March,Sunday,Sunny,29,179,0,81,15,78,90
4063,EQX1063,Grader,Pune Highway,August,Monday,Cloudy,15,143,0,103,44,96,114
4064,EQX1064,Backhoe Loader,Lucknow Expressway,December,Tuesday,Foggy,22,179,0,25,37,22,22
4065,EQX1065,Bulldozer,Kolkata Dock,February,Tuesday,Sunny,1,29,15,73,47,77,86
4066,EQX1066,Excavator,Lucknow Expressway,August,Sunday,Cloudy,19,157,48,96,10,95,112
4067,EQX1067,Roller,Nagpur Mine,August,Tuesday,Cloudy,6,61,20,45,46,38,49
4068,EQX1068,Wheel Loader,Delhi NCR,November,Thursday,Cloudy,24,292,32,71,15,75,80
4069,EQX1069,Grader,Pune Highway,February,Sunday,Cloudy,2,16,46,5,33,5,2
4070,EQX1070,Grader,Delhi NCR,February,Friday,Cloudy,29,339,3,94,35,91,98
4071,EQX1071,Roller,Bhopal Quarry,June,Wednesday,Rainy,3,35,57,36,9,21,29
4072,EQX1072,Grader,Mysuru Township,January,Saturday,Cloudy,18,128,53,63,16,48,51
4073,EQX1073,Crane,Patna Bridge,January,Tuesday,Foggy,7,91,52,62,56,73,74
4074,EQX1074,Bulldozer,Delhi NCR,March,Sunday,Cloudy,29,234,10,71,23,57,62
4075,EQX1075,Grader,Indore Logistics,November,Friday,Foggy,22,195,0,72,11,70,76
4076,EQX1076,Excavator,Bengaluru Airport,January,Thursday,Cloudy,16,117,0,76,43,81,86
4077,EQX1077,Bulldozer,Goa Port,March,Friday,Sunny,19,252,16,49,13,41,49
4078,EQX1078,Crane,Bengaluru Airport,October,Friday,Cloudy,5,41,4,109,22,119,128
4079,EQX1079,Dump Truck,Indore Logistics,June,Monday,Rainy,12,133,0,30,12,21,30
4080,EQX1080,Excavator,Patna Bridge,July,Sunday,Rainy,10,74,33,6,12,21,31
4081,EQX1081,Backhoe Loader,Chennai Metro,February,Wednesday,Sunny,2,34,67,59,33,64,71
4082,EQX1082,Dump Truck,Kochi Harbor,June,Wednesday,Cloudy,11,84,32,78,50,66,78
4083,EQX1083,Crane,Patna Bridge,January,Wednesday,Foggy,27,248,4,55,28,59,62
4084,EQX1084,Roller,Coimbatore Plant,March,Wednesday,Cloudy,17,163,0,74,60,62,66
4085,EQX1085,Grader,Mumbai Port,January,Saturday,Foggy,21,218,20,10,45,25,23
4086,EQX1086,Backhoe Loader,Pune Highway,July,Tuesday,Rainy,16,152,8,42,40,54,66
4087,EQX1087,Backhoe Loader,Ahmedabad SEZ,February,Friday,Cloudy,15,121,41,76,59,82,85
4088,EQX1088,Roller,Kochi Harbor,October,Thursday,Cloudy,11,107,0,101,7,87,96
4089,EQX1089,Roller,Surat Industrial,August,Friday,Rainy,10,76,47,84,17,89,104
4090,EQX1090,Dump Truck,Lucknow Expressway,September,Friday,Sunny,7,78,0,14,12,7,18
4091,EQX1091,Wheel Loader,Nagpur Mine,February,Tuesday,Cloudy,12,153,54,23,59,16,13
4092,EQX1092,Dump Truck,Nagpur Mine,September,Tuesday,Cloudy,15,99,0,66,42,69,79
4093,EQX1093,Roller,Goa Port,June,Thursday,Rainy,27,254,23,105,39,95,109
4094,EQX1094,Grader,Coimbatore Plant,January,Thursday,Sunny,16,122,47,20,11,16,21
4095,EQX1095,Dump Truck,Vizag Port,March,Thursday,Sunny,28,196,0,75,51,70,79
4096,EQX1096,Crane,Kolkata Dock,October,Thursday,Sunny,8,78,31,28,23,37,42
4097,EQX1097,Roller,Mysuru Township,January,Thursday,Sunny,18,239,0,117,57,112,125
4098,EQX1098,Wheel Loader,Patna Bridge,July,Wednesday,Cloudy,2,28,1,30,59,44,56
4099,EQX1099,Bulldozer,Ahmedabad SEZ,April,Thursday,Cloudy,11,127,5,80,34,75,86
4100,EQX1100,Backhoe Loader,Indore Logistics,October,Monday,Cloudy,27,185,36,107,4,105,114
4101,EQX1101,Excavator,Ahmedabad SEZ,August,Monday,Cloudy,4,56,26,36,57,35,44
4102,EQX1102,Excavator,Bhopal Quarry,May,Saturday,Sunny,10,86,39,76,30,63,79
4103,EQX1103,Roller,Indore Logistics,April,Thursday,Cloudy,14,100,31,119,32,126,140
4104,EQX1104,Backhoe Loader,Lucknow Expressway,January,Tuesday,Cloudy,9,88,46,59,9,60,64
4105,EQX1105,Backhoe Loader,Bhopal Quarry,September,Tuesday,Sunny,10,68,11,67,34,63,78
4106,EQX1106,Bulldozer,Patna Bridge,May,Wednesday,Sunny,17,185,5,58,15,65,81
4107,EQX1107,Grader,Vizag Port,February,Tuesday,Sunny,7,84,60,119,55,130,142
4108,EQX1108,Bulldozer,Chennai Metro,June,Saturday,Sunny,1,31,14,32,57,21,33
4109,EQX1109,Excavator,Goa Port,May,Monday,Hot,9,119,44,63,52,63,72
4110,EQX1110,Crane,Pune Highway,November,Wednesday,Cloudy,24,236,24,54,2,48,52
4111,EQX1111,Roller,Mumbai Port,September,Wednesday,Sunny,19,117,32,92,54,100,116
4112,EQX1112,Crane,Bhopal Quarry,August,Wednesday,Cloudy,30,381,27,101,54,98,114
4113,EQX1113,Dump Truck,Ahmedabad SEZ,December,Wednesday,Foggy,13,164,48,55,4,57,60
4114,EQX1114,Grader,Lucknow Expressway,January,Wednesday,Cloudy,28,312,27,44,23,57,59
4115,EQX1115,Grader,Kolkata Dock,February,Tuesday,Cloudy,2,34,66,71,33,72,75
4116,EQX1116,Dump Truck,Kolkata Dock,March,Monday,Cloudy,10,118,8,26,2,24,26
4117,EQX1117,Crane,Surat Industrial,December,Tuesday,Sunny,29,295,39,64,52,70,77
4118,EQX1118,Roller,Bengaluru Airport,November,Sunday,Cloudy,2,43,59,22,21,20,19
4119,EQX1119,Roller,Bengaluru Airport,April,Tuesday,Cloudy,8,81,3,37,17,23,30
4120,EQX1120,Bulldozer,Delhi NCR,September,Monday,Sunny,19,235,11,110,3,123,144
4121,EQX1121,Bulldozer,Chennai Metro,February,Friday,Cloudy,13,112,51,73,22,68,72
4122,EQX1122,Dump Truck,Vizag Port,June,Wednesday,Cloudy,23,195,0,77,27,65,79
4123,EQX1123,Bulldozer,Surat Industrial,May,Friday,Sunny,20,188,24,63,47,78,93
4124,EQX1124,Wheel Loader,Indore Logistics,June,Monday,Rainy,19,196,45,63,47,77,86
4125,EQX1125,Wheel Loader,Ahmedabad SEZ,June,Sunday,Cloudy,14,153,17,89,15,99,114
4126,EQX1126,Crane,Kochi Harbor,December,Tuesday,Cloudy,14,162,0,64,43,66,70
4127,EQX1127,Crane,Bengaluru Airport,November,Saturday,Cloudy,23,157,0,104,54,118,125
4128,EQX1128,Roller,Surat Industrial,March,Tuesday,Cloudy,30,309,30,58,47,73,75
4129,EQX1129,Wheel Loader,Kochi Harbor,July,Monday,Cloudy,10,83,57,115,25,126,146
4130,EQX1130,Dump Truck,Delhi NCR,October,Monday,Cloudy,14,144,0,16,54,29,27
4131,EQX1131,Grader,Hyderabad Ring Road,November,Saturday,Cloudy,20,241,20,114,48,122,130
4132,EQX1132,Grader,Kochi Harbor,January,Sunday,Sunny,22,203,0,21,9,30,36
4133,EQX1133,Crane,Mysuru Township,November,Tuesday,Sunny,2,30,43,98,52,95,105
4134,EQX1134,Backhoe Loader,Surat Industrial,December,Thursday,Foggy,23,165,0,17,27,12,12
4135,EQX1135,Roller,Mumbai Port,April,Wednesday,Cloudy,20,161,25,9,35,5,8
4136,EQX1136,Wheel Loader,Ahmedabad SEZ,December,Tuesday,Sunny,5,47,63,16,19,5,8
4137,EQX1137,Excavator,Lucknow Expressway,November,Saturday,Cloudy,11,151,56,112,20,99,107
4138,EQX1138,Backhoe Loader,Vizag Port,March,Wednesday,Sunny,29,248,9,29,50,44,49
4139,EQX1139,Excavator,Kolkata Dock,August,Tuesday,Cloudy,1,35,26,99,57,91,107
4140,EQX1140,Excavator,Chennai Metro,October,Monday,Cloudy,5,48,0,43,52,34,35
4141,EQX1141,Excavator,Indore Logistics,October,Wednesday,Sunny,16,117,55,27,17,33,38
4142,EQX1142,Wheel Loader,Bhopal Quarry,March,Wednesday,Cloudy,21,238,41,60,24,55,58
4143,EQX1143,Dump Truck,Indore Logistics,July,Wednesday,Rainy,5,56,55,33,23,28,39
4144,EQX1144,Bulldozer,Pune Highway,May,Saturday,Hot,6,67,48,18,23,31,37
4145,EQX1145,Wheel Loader,Mysuru Township,October,Monday,Sunny,24,292,10,27,31,34,39
4146,EQX1146,Grader,Bengaluru Airport,February,Sunday,Cloudy,30,333,0,118,18,129,139
4147,EQX1147,Wheel Loader,Mysuru Township,November,Friday,Sunny,2,23,58,84,56,92,100
4148,EQX1148,Crane,Jaipur Smart City,September,Sunday,Cloudy,26,249,0,32,47,45,51
4149,EQX1149,Bulldozer,Mumbai Port,March,Friday,Sunny,15,112,0,23,30,19,24
4150,EQX1150,Wheel Loader,Lucknow Expressway,October,Sunday,Cloudy,15,167,21,107,13,94,103
4151,EQX1151,Bulldozer,Coimbatore Plant,July,Saturday,Cloudy,6,58,44,114,43,122,141
4152,EQX1152,Crane,Bengaluru Airport,October,Tuesday,Sunny,1,19,31,29,27,22,27
4153,EQX1153,Roller,Nagpur Mine,May,Friday,Hot,7,89,65,108,52,106,119
4154,EQX1154,Bulldozer,Coimbatore Plant,May,Saturday,Sunny,23,298,0,85,5,84,104
4155,EQX1155,Grader,Ahmedabad SEZ,March,Monday,Cloudy,23,237,17,25,31,26,26
4156,EQX1156,Dump Truck,Bhopal Quarry,September,Wednesday,Rainy,4,43,23,29,36,38,43
4157,EQX1157,Wheel Loader,Bengaluru Airport,January,Wednesday,Sunny,19,115,35,32,42,21,26
4158,EQX1158,Roller,Indore Logistics,November,Monday,Cloudy,29,241,22,52,37,50,52
4159,EQX1159,Dump Truck,Indore Logistics,March,Saturday,Cloudy,21,133,16,40,53,38,38
4160,EQX1160,Wheel Loader,Jaipur Smart City,April,Wednesday,Sunny,27,254,25,114,57,115,132
4161,EQX1161,Bulldozer,Surat Industrial,June,Tuesday,Cloudy,24,178,0,64,22,64,77
4162,EQX1162,Crane,Pune Highway,February,Wednesday,Cloudy,26,301,24,77,45,74,78
4163,EQX1163,Crane,Lucknow Expressway,October,Sunday,Cloudy,26,234,0,105,42,119,127
4164,EQX1164,Wheel Loader,Indore Logistics,December,Saturday,Sunny,24,196,0,77,55,74,83
4165,EQX1165,Backhoe Loader,Vizag Port,September,Wednesday,Rainy,3,36,17,28,58,17,21
4166,EQX1166,Bulldozer,Lucknow Expressway,December,Thursday,Foggy,12,126,35,112,48,103,110
4167,EQX1167,Grader,Ahmedabad SEZ,April,Thursday,Hot,14,92,0,41,11,55,63
4168,EQX1168,Backhoe Loader,Coimbatore Plant,April,Sunday,Sunny,20,255,0,74,6,66,83
4169,EQX1169,Dump Truck,Mysuru Township,March,Wednesday,Sunny,18,129,0,84,51,75,85
4170,EQX1170,Grader,Patna Bridge,May,Saturday,Sunny,5,54,42,9,7,16,27
4171,EQX1171,Backhoe Loader,Vizag Port,October,Saturday,Cloudy,18,144,40,108,29,114,122
4172,EQX1172,Crane,Bengaluru Airport,April,Wednesday,Cloudy,30,314,38,32,44,38,42
4173,EQX1173,Dump Truck,Patna Bridge,July,Thursday,Stormy,1,20,63,24,21,18,26
4174,EQX1174,Roller,Patna Bridge,July,Monday,Stormy,10,127,18,60,45,71,83
4175,EQX1175,Backhoe Loader,Surat Industrial,April,Friday,Cloudy,17,140,28,120,48,105,118
4176,EQX1176,Crane,Coimbatore Plant,June,Sunday,Sunny,11,152,43,26,38,26,38
4177,EQX1177,Grader,Mysuru Township,July,Tuesday,Stormy,25,304,1,108,60,117,133
4178,EQX1178,Crane,Bhopal Quarry,August,Friday,Rainy,8,97,44,74,54,81,93
4179,EQX1179,Grader,Nagpur Mine,August,Thursday,Rainy,15,111,15,37,42,30,40
4180,EQX1180,Roller,Bengaluru Airport,July,Thursday,Rainy,12,81,37,16,36,5,14
4181,EQX1181,Roller,Goa Port,March,Wednesday,Cloudy,23,245,0,39,18,43,46
4182,EQX1182,Excavator,Patna Bridge,April,Thursday,Cloudy,12,88,42,84,47,79,88
4183,EQX1183,Bulldozer,Jaipur Smart City,April,Tuesday,Cloudy,9,71,60,34,46,39,43
4184,EQX1184,Bulldozer,Kochi Harbor,September,Friday,Cloudy,1,18,23,39,32,37,44
4185,EQX1185,Bulldozer,Bhopal Quarry,March,Sunday,Sunny,16,185,15,85,41,87,98
4186,EQX1186,Excavator,Coimbatore Plant,February,Friday,Sunny,30,360,0,54,15,42,51
4187,EQX1187,Crane,Chennai Metro,March,Monday,Sunny,21,154,0,51,11,42,51
4188,EQX1188,Wheel Loader,Delhi NCR,April,Monday,Hot,22,141,0,80,37,70,81
4189,EQX1189,Grader,Coimbatore Plant,August,Sunday,Rainy,8,65,46,66,13,52,65
4190,EQX1190,Bulldozer,Patna Bridge,March,Thursday,Cloudy,1,19,11,89,51,88,94
4191,EQX1191,Crane,Chennai Metro,July,Sunday,Cloudy,1,11,12,88,39,93,111
4192,EQX1192,Bulldozer,Lucknow Expressway,August,Friday,Cloudy,27,213,0,42,56,36,47
4193,EQX1193,Wheel Loader,Goa Port,May,Wednesday,Sunny,30,375,0,52,60,39,53
4194,EQX1194,Backhoe Loader,Jaipur Smart City,December,Saturday,Foggy,14,143,0,64,42,50,54
4195,EQX1195,Dump Truck,Bhopal Quarry,January,Monday,Sunny,5,55,0,113,18,99,114
4196,EQX1196,Wheel Loader,Goa Port,November,Friday,Foggy,1,29,24,41,42,48,49
4197,EQX1197,Bulldozer,Coimbatore Plant,March,Friday,Sunny,4,57,0,8,25,20,24
4198,EQX1198,Wheel Loader,Hyderabad Ring Road,March,Thursday,Cloudy,18,130,26,28,47,27,26
4199,EQX1199,Grader,Bengaluru Airport,June,Thursday,Rainy,29,205,0,19,8,17,25
4200,EQX1200,Crane,Coimbatore Plant,December,Saturday,Foggy,17,193,4,118,26,118,128
4201,EQX1201,Excavator,Ahmedabad SEZ,February,Thursday,Sunny,15,153,0,107,29,121,135
4202,EQX1202,Roller,Patna Bridge,December,Thursday,Sunny,1,17,11,47,14,48,56
4203,EQX1203,Backhoe Loader,Indore Logistics,March,Friday,Cloudy,8,96,13,26,4,30,32
4204,EQX1204,Backhoe Loader,Lucknow Expressway,February,Sunday,Cloudy,7,77,29,91,2,87,95
4205,EQX1205,Wheel Loader,Hyderabad Ring Road,February,Wednesday,Cloudy,2,32,1,62,22,72,77
4206,EQX1206,Excavator,Goa Port,September,Monday,Rainy,11,94,26,57,33,56,64
4207,EQX1207,Wheel Loader,Surat Industrial,August,Saturday,Cloudy,15,165,0,98,2,100,119
4208,EQX1208,Wheel Loader,Indore Logistics,January,Friday,Cloudy,13,125,24,111,4,106,116
4209,EQX1209,Wheel Loader,Chennai Metro,June,Friday,Cloudy,3,32,53,26,31,31,38
4210,EQX1210,Dump Truck,Vizag Port,April,Friday,Cloudy,18,144,0,20,56,27,31
4211,EQX1211,Wheel Loader,Kolkata Dock,March,Wednesday,Sunny,4,48,16,13,54,5,8
4212,EQX1212,Excavator,Ahmedabad SEZ,July,Wednesday,Rainy,18,110,0,51,3,41,56
4213,EQX1213,Excavator,Hyderabad Ring Road,July,Monday,Stormy,3,48,31,114,32,124,141
4214,EQX1214,Bulldozer,Ahmedabad SEZ,August,Friday,Rainy,9,101,47,77,29,91,104
4215,EQX1215,Roller,Hyderabad Ring Road,April,Saturday,Cloudy,6,97,26,111,5,110,125
4216,EQX1216,Excavator,Kochi Harbor,May,Friday,Hot,22,139,47,89,35,77,89
4217,EQX1217,Excavator,Nagpur Mine,February,Thursday,Sunny,27,238,25,68,52,75,83
4218,EQX1218,Dump Truck,Hyderabad Ring Road,August,Saturday,Cloudy,19,238,0,39,38,36,48
4219,EQX1219,Excavator,Bengaluru Airport,February,Wednesday,Cloudy,19,158,0,62,29,56,60
4220,EQX1220,Bulldozer,Bengaluru Airport,August,Saturday,Cloudy,5,56,21,76,2,69,85
4221,EQX1221,Crane,Indore Logistics,April,Wednesday,Hot,17,209,39,63,44,52,59
4222,EQX1222,Wheel Loader,Bengaluru Airport,December,Friday,Sunny,20,180,3,73,19,74,85
4223,EQX1223,Dump Truck,Goa Port,April,Tuesday,Hot,16,126,5,84,40,97,108
4224,EQX1224,Wheel Loader,Lucknow Expressway,November,Wednesday,Foggy,23,228,0,25,46,38,38
